transaction_id,customer_id,age,gender,loyalty_member,product_type,sku,rating,order_status,payment_method,total_price,unit_price,quantity,purchase_date,shipping_type,add-on_total,add_on_1,add_on_2,add_on_3
TRS2409230001,4914,74,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,3379.32,844.83,4,2023-09-24,Overnight,106.12,Impulse Item,Impulse Item,Extended Warranty
TRS2409230002,1035,32,Female,No,Smartphone,SKU1001,5,Completed,Cash,186.75,20.75,9,2023-09-24,Standard,0.0,None,None,None
TRS2409230003,4702,46,Female,No,Smartwatch,SKU1003,3,Cancelled,PayPal,1689.66,844.83,2,2023-09-24,Express,86.55,Extended Warranty,Extended Warranty,Impulse Item
TRS2409230004,1419,55,Female,Yes,Smartphone,SKU1001,5,Completed,Credit Card,124.5,20.75,6,2023-09-24,Overnight,76.59,Accessory,Accessory,Accessory
TRS2409230005,9016,61,Female,No,Smartphone,SKU1001,5,Completed,PayPal,83.0,20.75,4,2023-09-24,Express,107.39,Impulse Item,Extended Warranty,Extended Warranty
TRS2409230006,5030,69,Female,No,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,2023-09-24,Standard,60.28,Impulse Item,Extended Warranty,None
TRS2409230007,6976,65,Female,No,Smartwatch,SKU1003,3,Completed,Cash,2534.49,844.83,3,2023-09-24,Overnight,41.23,Accessory,Accessory,None
TRS2409230008,4211,45,Female,No,Laptop,SKU1005,3,Cancelled,PayPal,3247.72,463.96,7,2023-09-24,Overnight,64.01,Accessory,Impulse Item,None
TRS2409230009,5434,33,Male,No,Smartphone,SKU1001,5,Completed,Credit Card,20.75,20.75,1,2023-09-24,Standard,42.44,Extended Warranty,Extended Warranty,None
TRS2409230010,6548,65,Male,No,Tablet,SKU1002,3,Completed,Debit Card,1235.15,247.03,5,2023-09-24,Overnight,53.95,Extended Warranty,Extended Warranty,Extended Warranty
TRS2409230011,2354,64,Male,Yes,Tablet,SKU1002,3,Completed,PayPal,1976.24,247.03,8,2023-09-24,Express,26.65,Extended Warranty,None,None
TRS2409230012,4510,36,Female,No,Tablet,SKU1002,3,Completed,Credit Card,2470.3,247.03,10,2023-09-24,Overnight,97.25,Impulse Item,Extended Warranty,Accessory
TRS2409230013,8729,39,Female,No,Tablet,SKU1002,3,Completed,Debit Card,1729.21,247.03,7,2023-09-24,Standard,0.0,None,None,None
TRS2409230014,7669,18,Female,No,Smartwatch,SKU1003,3,Completed,Credit Card,5068.98,844.83,6,2023-09-24,Overnight,75.9,Impulse Item,Accessory,None
TRS2409230015,9227,26,Female,No,Laptop,SKU1005,3,Completed,Credit Card,463.96,463.96,1,2023-09-24,Standard,37.97,Impulse Item,Impulse Item,None
TRS2409230016,8151,73,Male,No,Smartphone,SKU1001,5,Completed,PayPal,41.5,20.75,2,2023-09-24,Express,0.0,None,None,None
TRS2409230017,3967,52,Female,Yes,Tablet,SKU1002,3,Completed,Debit Card,247.03,247.03,1,2023-09-24,Standard,112.91,Impulse Item,Impulse Item,Impulse Item
TRS2409230018,6618,36,Female,Yes,Laptop,SKU1005,3,Cancelled,Credit Card,3247.72,463.96,7,2023-09-24,Express,45.64,Accessory,Impulse Item,None
TRS2409230019,5144,71,Female,No,Smartwatch,SKU1003,3,Completed,Credit Card,844.83,844.83,1,2023-09-24,Standard,43.48,Extended Warranty,None,None
TRS2409230020,4093,78,Female,No,Tablet,SKU1002,3,Completed,Cash,494.06,247.03,2,2023-09-24,Express,95.89,Extended Warranty,Impulse Item,Accessory
TRS2409230021,8166,40,Male,No,Smartphone,SKU1001,5,Completed,Cash,145.25,20.75,7,2023-09-24,Standard,85.14,Accessory,Extended Warranty,Impulse Item
TRS2409230022,6306,26,Male,Yes,Smartphone,SKU1001,5,Completed,PayPal,62.25,20.75,3,2023-09-24,Express,47.26,Extended Warranty,Accessory,Extended Warranty
TRS2409230023,2484,56,Female,No,Smartphone,SKU1004,2,Completed,PayPal,3164.76,791.19,4,2023-09-24,Express,36.89,Impulse Item,Impulse Item,Impulse Item
TRS2409230024,1792,30,Male,Yes,Laptop,SKU1005,3,Completed,Cash,3247.72,463.96,7,2023-09-24,Express,28.74,Accessory,None,None
TRS2409230025,4224,23,Female,No,Tablet,SKU1002,3,Completed,Debit Card,1235.15,247.03,5,2023-09-24,Standard,89.32,Impulse Item,Accessory,Accessory
TRS2409230026,2615,55,Male,No,Smartwatch,SKU1003,3,Completed,Credit Card,2534.49,844.83,3,2023-09-24,Standard,22.95,Accessory,None,None
TRS2409230027,1885,65,Female,No,Smartphone,SKU1004,2,Completed,Cash,1582.38,791.19,2,2023-09-24,Standard,37.93,Accessory,None,None
TRS2409230028,7723,58,Female,Yes,Laptop,SKU1005,3,Cancelled,Credit Card,2319.8,463.96,5,2023-09-24,Overnight,0.0,None,None,None
TRS2409230029,7528,76,Female,Yes,Smartphone,SKU1004,2,Cancelled,Debit Card,7911.9,791.19,10,2023-09-24,Standard,40.59,Accessory,None,None
TRS2409230030,2933,48,Female,No,Smartwatch,SKU1003,3,Cancelled,Cash,5913.81,844.83,7,2023-09-24,Overnight,55.92,Accessory,Accessory,Accessory
TRS2509230001,1008,66,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,2023-09-25,Express,65.85,Extended Warranty,Impulse Item,Extended Warranty
TRS2509230002,4968,53,Female,Yes,Smartphone,SKU1004,2,Cancelled,PayPal,5538.33,791.19,7,2023-09-25,Standard,0.0,None,None,None
TRS2509230003,9641,33,Male,No,Tablet,SKU1002,3,Completed,PayPal,494.06,247.03,2,2023-09-25,Overnight,0.0,None,None,None
TRS2509230004,4958,33,Male,Yes,Tablet,SKU1002,3,Completed,Debit Card,1976.24,247.03,8,2023-09-25,Express,0.0,None,None,None
